Respondent,Target_1,Whole Foods_1,Costco_1,Trader Joes_1,Target Price_2,Target Quality_2,Target Variety_2,Whole Foods Price_2,Whole Foods Quality_2,Whole Foods Variety_2,Costco Price_2,Costco Quality_2,Costco Variety_2,Trader Joes Price_2,Trader Joes Quality_2,Trader Joes Variety_2,Target_3,Whole Foods_3,Costco_3,Trader Joes_3
1,2,4,1,3,2,4,4,1,3,3,5,5,4,3,4,4,30,0,60,10
2,1,4,3,2,4,4,5,3,3,3,5,5,5,5,5,5,25,15,15,50
3,2,1,3,4,4,4,4,2,4,4,1,4,5,1,4,5,25,10,50,15
4,1,3,4,2,4,4,4,2,5,3,5,3,4,2,4,4,50,15,10,25
5,1,4,2,3,4,4,5,2,4,4,5,4,5,3,3,3,75,0,25,0
6,2,3,4,1,4,4,5,2,4,4,4,3,5,4,5,4,40,20,0,40
7,1,2,3,4,4,4,4,2,5,5,4,4,4,3,3,3,25,50,25,0
8,2,3,1,4,3,4,3,4,4,3,4,4,4,3,3,3,25,25,50,0
9,2,4,3,1,2,4,4,3,3,3,4,4,5,4,5,4,50,0,0,50
10,1,3,2,4,5,5,5,3,3,3,4,4,4,3,3,3,10,0,30,0
11,3,4,2,1,2,4,5,3,3,3,5,5,5,4,5,5,25,0,50,25
12,2,3,4,1,2,4,5,1,4,4,5,4,5,5,5,5,0,0,0,100
13,3,4,2,1,2,3,4,1,2,1,4,4,4,5,5,5,0,0,0,100
14,2,4,1,3,3,4,5,2,3,2,5,5,5,3,4,4,20,0,80,0
15,3,2,1,4,4,4,4,4,5,5,5,5,5,3,3,3,0,0,100,0
16,1,4,2,3,2,4,5,3,3,3,4,5,5,3,3,3,100,0,0,0
17,3,4,1,2,2,2,3,1,5,2,5,4,2,3,4,4,10,30,50,10
18,1,3,2,4,4,5,5,3,4,4,3,4,5,3,3,3,30,20,30,20
19,NA,NA,NA,NA,4,4,5,3,3,3,5,5,5,3,3,3,0,0,100,0
20,1,4,2,3,2,4,5,1,4,3,5,3,5,4,4,2,50,0,30,20
21,2,1,3,4,2,4,4,2,5,4,5,4,5,5,5,2,20,20,30,30
22,2,4,1,3,4,3,3,2,4,4,3,4,5,2,5,3,30,0,50,20
23,1,3,2,4,4,4,4,3,3,3,4,4,2,2,2,2,50,0,50,0
24,4,3,2,1,2,2,2,1,4,3,4,2,5,3,3,3,0,0,99,1
25,2,3,4,1,4,4,4,2,5,4,5,3,4,5,5,5,40,10,0,50
26,NA,NA,NA,NA,2,4,4,3,3,3,5,5,5,4,5,5,25,0,25,50
27,1,4,3,2,4,4,4,2,4,2,4,4,4,4,4,2,50,15,20,15
28,4,2,1,3,2,3,4,1,5,5,5,2,5,4,4,2,0,50,50,0
29,NA,NA,NA,NA,4,2,4,2,5,4,3,3,3,3,3,3,50,50,0,0
30,2,1,3,4,2,2,1,4,5,5,4,5,4,6,3,4,0,100,0,0
31,2,1,3,4,2,2,4,1,5,4,4,2,5,3,3,3,100,0,0,0
32,3,4,2,1,3,3,3,1,3,3,4,4,4,3,4,4,25,0,50,25
33,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,80,20
34,2,1,3,4,4,3,2,2,5,4,4,4,4,3,4,3,10,60,20,10
35,1,3,4,2,4,5,5,4,4,4,3,3,3,4,4,5,80,0,0,20
36,3,4,1,2,2,4,4,1,4,3,5,5,4,5,5,4,10,0,50,40
37,3,4,1,2,2,2,3,NA,NA,NA,4,3,4,NA,NA,NA,50,0,50,0
38,1,3,4,2,2,4,2,1,4,4,4,2,2,2,4,4,30,0,50,20
39,2,3,2,1,3,4,4,2,4,3,4,3,4,3,3,3,50,30,20,10
40,4,3,2,1,4,4,5,3,4,4,5,4,5,3,5,4,0,25,50,25
