Respondent,Target_1,Whole Foods_1,Costco_1,Trader Joes_1,Target Price_2,Target Quality_2,Target Variety_2,Whole Foods Price_2,Whole Foods Quality_2,Whole Foods Variety_2,Costco Price_2,Costco Quality_2,Costco Variety_2,Trader Joes Price_2,Trader Joes Quality_2,Trader Joes Variety_2,Target_3,Whole Foods_3,Costco_3,Trader Joes_3
1,3,4,2,1,2,4,5,3,3,3,5,5,5,4,5,5,25,0,50,25
2,2,3,4,1,2,4,5,1,4,4,5,4,5,5,5,5,0,0,0,100
3,3,4,2,1,2,3,4,1,2,1,4,4,4,5,5,5,0,0,0,100
4,2,4,1,3,3,4,5,2,3,2,5,5,5,3,4,4,20,0,80,0
5,3,2,1,4,4,4,4,4,5,5,5,5,5,3,3,3,0,0,100,0
6,1,4,2,3,2,4,5,3,3,3,4,5,5,3,3,3,100,0,0,0
7,3,4,1,2,2,2,3,1,5,2,5,4,2,3,4,4,10,30,50,10
8,1,3,2,4,4,5,5,3,4,4,3,4,5,3,3,3,30,20,30,20
9,-999,-999,-999,-999,4,4,5,3,3,3,5,5,5,3,3,3,0,0,100,0
10,1,4,2,3,2,4,5,1,4,3,5,3,5,4,4,2,50,0,30,20
